Country;Year;Countryyear;Consttort;Convtort;Politterr;Torture;Homicide;Riot;Constrel;Constfreemov;Freerelig;Freemove;Propright;Secprop;Constfair;Pubtrial;Judindepcor;Judindepinf;Impcourts;Intgrlegal;Profjudg;Proftenure;Confjust;Fairjust;Confpolice;Fairpolice;Constfras;Constass;Union;Memproorg;Memhuman;Memenviron;Constspeech;Constpress;Newsimp;Newspaper;Medinteg;Freeinternet;Meandistrict;Gerryman;Largpavo;Votediff;Herfindex;Seatdiff;Adminhurd;Leg_thresh;Smallpavo;Enep;Ceilings;Funding;Balexleg;Balpowexle;Seatsgov;Judrev;Federalism;Bicameralism;Subexp;Subrev;Leglen;Gov_term;Confgov;Devbehav;Govstab;Cabchange;Antigovact;Violantigov;Mip;Rip;Govdec;Bureau;Discinco;Discexp;Corrup;CPI;LegFOI;Transp;Suffrage;Regprovap;Repturnined;Repturngeag;Repaltined;Repaltgeag;Facilitat;Registr;Meanpart;Eff_DD;Petitions;Demons;Seatperin;No_districts;Dirdem;DD_Quora;Gallagindex;Issuecongr;Constraints;Womrep;Womgov;Minpower;Partreg;Minrep
Albania;1990;Albania1990;0;0;2;0;#NV;-4;0;0;0;0;#NV;#NV;0;1;1;#NV;#NV;4;1;0;#NV;#NV;#NV;#NV;0;0;#NV;#NV;#NV;#NV;0;0;#NV;#NV;0.131027158;#NV;1;0;#NV;#NV;#NV;#NV;-4;62.5;#NV;#NV;0;0;#NV;#NV;#NV;-1;0;0;#NV;#NV;#NV;#NV;#NV;#NV;#NV;-1;-8;0;4.666666667;6;#NV;1;0;0;4;#NV;0;#NV;8;#NV;#NV;#NV;#NV;#NV;0;1;#NV;0;#NV;#NV;7.599978477;#NV;2;#NV;#NV;#NV;#NV;29.2;#NV;2;0;#NV
Albania;1991;Albania1991;0;0;2;1;#NV;-3;1;1;2;2;#NV;#NV;4;0;2;#NV;#NV;2.833333333;1;0;#NV;#NV;#NV;#NV;1;1;#NV;#NV;#NV;#NV;1;1;#NV;#NV;0.60773995;#NV;1;0;43.79723768;82.53014508;-0.547392;62.4;-4;62.5;-0.281572551;2.144242173;0;0;37.5;0.603061728;1.97269E-05;2;0;0;#NV;#NV;4;3;#NV;#NV;43.69747899;-3;-11;0;3.75;6;#NV;1;0;0;4;#NV;0;#NV;8;99.9689;#NV;#NV;#NV;#NV;0;1;98.92;0;#NV;#NV;7.625250821;#NV;2;#NV;-10.19299799;#NV;#NV;3.6;#NV;2;0;0.985
Albania;1992;Albania1992;0;0;3;1;-4.53;-1;1;1;1;2;#NV;#NV;4;0;1;#NV;#NV;2.083333333;1;0;#NV;#NV;#NV;#NV;1;1;#NV;#NV;#NV;#NV;1;1;#NV;#NV;0.602690897;#NV;140;0;39.08395812;67.74792717;-0.508265306;61.64355972;-4;96;-2.329273409;2.174532144;0;0;75;0.650428571;0.000807256;2;0;0;#NV;#NV;4;3;#NV;#NV;62.9095675;-1;0;0;4;6;#NV;1;0;0;3.25;#NV;0;#NV;8;97.493;#NV;#NV;#NV;#NV;0;1;91.5;0;#NV;#NV;7.438055233;2;2;#NV;-4.845907906;#NV;#NV;5.7;#NV;2;0;1
Albania;1993;Albania1993;2;0;3;1;-6.43;0;1;1;1;2;#NV;#NV;4;1;1;#NV;#NV;3.333333333;1;0;#NV;#NV;#NV;#NV;1;1;#NV;#NV;#NV;#NV;1;1;#NV;#NV;0.582914704;#NV;140;0;37.74439446;63.54666524;-0.508265306;61.42857143;-4;96;-2.911251547;2.183140872;0;0;75;0.650428571;0.000807256;2;0;0;#NV;#NV;4;3;#NV;#NV;62.9095675;-1;-2;0;4;6;#NV;1;0;0;4;#NV;0;#NV;8;97.493;#NV;#NV;#NV;#NV;0;1;91.5;0;#NV;#NV;4.341218537;2;2;#NV;-3.326208619;#NV;#NV;5.7;#NV;2;0;1
Albania;1994;Albania1994;2;1;2;1;-3.82;0;1;1;2;2;#NV;#NV;4;1;2;#NV;#NV;4.666666667;1;0;#NV;#NV;#NV;#NV;1;1;#NV;#NV;#NV;#NV;1;1;#NV;#NV;0.588936653;#NV;140;0;37.74439446;63.54666524;-0.508265306;61.42857143;-4;96;-2.911251547;2.183140872;0;0;75;0.63822546;0.001023306;2;0;0;#NV;#NV;4;3;#NV;#NV;38.33551769;-1;0;0;4;6;#NV;1;0;0;4;#NV;0;#NV;8;97.493;#NV;#NV;#NV;#NV;0;1;91.5;0.301029996;#NV;#NV;4.403288376;2;2;#NV;-3.326208619;#NV;#NV;5.7;#NV;2;0;1
Albania;1995;Albania1995;2;1;2;1;-7.387072431;0;1;1;1;2;50;#NV;4;1;1;#NV;#NV;4.666666667;1;0;58.5;#NV;73;#NV;1;1;#NV;11.9;2.5;1.9;1;1;#NV;#NV;0.588171714;#NV;140;0;37.74439446;63.54666524;-0.508265306;61.42857143;-4;96;-2.911251547;2.183140872;0;0;75;0.63822546;0.001023306;2;0;0;20.167;1.74451;4;3;41.4;64.02366864;38.33551769;-1;0;0;4;6;#NV;1;0;0;3.833333333;#NV;0;#NV;8;97.493;-2.628454;-2.936269;-14.787776;-17.912877;0;1;91.5;0;27.315914;19.030733;4.457034506;2;2;#NV;-3.326208619;#NV;#NV;5.7;16;2;0;1
Albania;1996;Albania1996;2;1;2;0;-8.478271133;0;2;1;1;2;50;#NV;4;1;1;#NV;#NV;4;1;0;58.5;#NV;73;#NV;2;2;#NV;11.9;2.5;1.9;2;2;0.001540829;#NV;0.604087586;#NV;5.285714286;0;41.79159386;64.32840053;-0.765612245;36.52615144;-4;71.92445755;-3.59000917;2.548292895;0;0;75;0.176984127;4.35939E-06;2;0;0;19.8788;2.54669;4;3;41.4;64.02366864;60.90225564;-1;-1;0;4;6;#NV;1;0;0;2.75;#NV;0;#NV;8;100;-2.628454;-2.936269;-14.787776;-17.912877;0;1;89.08;0;27.315914;19.030733;4.497851794;2.06069784;2;#NV;-16.11104778;#NV;#NV;12.1;5.3;2;0;0.9864286
Albania;1997;Albania1997;2;1;1;0;-48.22818283;-11;2;1;1;2;50;#NV;4;1;1;#NV;#NV;2.833333333;1;0;58.5;#NV;73;#NV;2;2;#NV;11.9;2.5;1.9;2;2;0.004943516;#NV;0.611824624;#NV;11.06451613;0;45.88950428;68.97567773;-0.462476587;36.76712329;-4;78.75535965;-2.128904397;2.82788509;0;0;75;0.401720745;0.000209893;2;0;0;17.0175;1.20533;4;3;41.4;64.02366864;31.82113939;-2;-9;-1;4;6;#NV;1;0;0;2.25;#NV;0;#NV;8;87.3815;-2.628454;-2.936269;-14.787776;-17.912877;0;1;72.56;0;27.315914;19.030733;4.527957225;2.06069784;2;#NV;-17.57031565;#NV;#NV;5.2;#NV;2;0;0.9864286
Albania;1998;Albania1998;2;1;2;1;-24.73;-2;2;1;2;2;30;#NV;4;1;1;#NV;#NV;3;1;0;58.5;#NV;73;#NV;2;2;#NV;11.9;2.5;1.9;2;2;0.004545821;#NV;0.607434173;#NV;11.06451613;0;47.24840465;72.94879371;-0.462476587;52.90322581;-4;78.75535965;-0.289291549;2.863746714;0;0;75;0.569053734;0.000209893;2;0;0;15.8887;0.916971;4;3;41.4;64.02366864;26.92307692;-2;-1;0;3.166666667;6;#NV;1;1;1;3;#NV;2;#NV;8;87.3815;-2.628454;-2.936269;-14.787776;-17.912877;0;1;72.56;0;27.315914;19.030733;4.969086114;2.06069784;2;#NV;-10.80948921;#NV;3;5.2;10.5;2;0;0.9864286
Albania;1999;Albania1999;2;1;2;0;-20.06;0;2;1;2;1.5;30;#NV;4;1;1;#NV;#NV;2.416666667;1;0;58.5;#NV;73;#NV;2;2;#NV;11.9;2.5;1.9;2;2;0.003942067;#NV;0.61826848;#NV;11.06451613;0;47.24840465;72.94879371;-0.462476587;52.90322581;-4;78.75535965;-0.289291549;2.863746714;0;0;75;0.569053734;0.000209893;2;0;0;#NV;#NV;4;3;41.4;64.02366864;46.49725275;-1;0;0;2.666666667;5.416666667;#NV;1;1;1;2.333333333;2.3;2;#NV;8;87.3815;-2.628454;-2.936269;-14.787776;-17.912877;0;1;72.56;0;27.315914;19.030733;4.979293624;2.06069784;2;#NV;-10.80948921;#NV;3;5.2;15;2;0;0.9864286
Albania;2000;Albania2000;2;1;2;0;-5.99;0;2;1;1;2;30;#NV;4;1;1;#NV;#NV;2;1;0;#NV;#NV;71.4;#NV;2;2;#NV;11.68;2.88;3.373333333;2;2;0.003275298;5.208577485;0.648905041;#NV;11.06451613;0;47.24840465;72.94879371;-0.462476587;52.90322581;-4;78.75535965;-0.289291549;2.863746714;0;2;75;0.569053734;0.000209893;2;0;0;#NV;#NV;4;3;44.72;69.86476824;46.49725275;0;0;0;3.583333333;5;#NV;1;1;1;2;#NV;2;#NV;8;87.3815;-2.1557896;-2.3877686;-15.597619;-18.8065402;0;1;72.56;0;26.3233194;20.1355278;4.98070222;2.06069784;2;0.666666667;-10.80948921;#NV;3;5.2;15;2;0;0.9864286
Albania;2001;Albania2001;2;1;2;0;-7.002202081;0;2;1;1;1.5;30;#NV;4;1;1;#NV;#NV;2;1;0;#NV;#NV;69.8;#NV;2;2;#NV;11.46;3.26;4.846666667;2;2;0.008474642;5.199231294;0.642795242;#NV;140;0;53.12948656;84.64286089;-0.384081633;67.45641058;-4;97.5;-1.470654048;3.018791782;0;2;75;0.751680066;0.159549873;2;0;0;#NV;#NV;4;3;48.04;75.70586785;46.49725275;-1;0;0;4;5;#NV;1;1;1;2;#NV;2;#NV;8;100;-1.6831252;-1.8392682;-16.407462;-19.7002034;0;1;54.95;0;25.3307248;21.2403226;4.971764925;2;2;0.666666667;-9.379058636;#NV;3;5.7;15;2;0;1
Albania;2002;Albania2002;2;1;2;0;-5.986237443;0;2;1;2;2;30;#NV;4;1;1;#NV;#NV;2;1;0;#NV;#NV;68.2;#NV;2;2;#NV;11.24;3.64;6.32;2;2;0.01766481;5.825661261;0.643707982;#NV;140;0;58.48712138;95.29609487;-0.384081633;80.71428571;-4;97.5;-2.546869099;3.160037026;0;2;75;0.751680066;0.159549873;2;0;0;#NV;#NV;4;3;51.36;81.54696746;77.34693878;-1;0;0;4.041666667;5;#NV;1.5;1;1;2;2.5;2;#NV;8;100;-1.2104608;-1.2907678;-17.217305;-20.5938666;0;1;54.95;0;24.3381302;22.3451174;4.53106987;2;2;0.666666667;-8.075943874;#NV;3;5.7;#NV;2;0;1
Albania;2003;Albania2003;2;1;3;0;-12.86889406;0;2;1;1;2;30;#NV;4;1;1;#NV;#NV;2;1;0;#NV;#NV;66.6;#NV;2;2;#NV;11.02;4.02;7.793333333;2;2;0.003207148;6.115812239;0.644014014;#NV;140;0;58.48712138;95.29609487;-0.384081633;80.71428571;-4;97.5;-2.546869099;3.160037026;0;2;75;0.751680066;0.159549873;2;0;0;#NV;#NV;4;3;54.68;87.38806706;77.34693878;-1;0;0;4.875;5;#NV;2;1;1;2;2.5;2;#NV;8;100;-0.7377964;-0.7422674;-18.027148;-21.4875298;0;1;54.95;0;23.3455356;23.4499122;4.506387966;2;2;0.666666667;-8.075943874;#NV;3;5.7;#NV;2;0;1
Albania;2004;Albania2004;2;1;2;1;-11.4705158;0;2;1;2;2;30;#NV;4;1;1;#NV;#NV;2;1;0;#NV;#NV;65;#NV;2;2;#NV;10.8;4.4;9.266666667;2;2;0.001678041;6.720298919;0.651951792;#NV;140;0;58.48712138;95.29609487;-0.384081633;80.71428571;-4;97.5;-2.546869099;3.160037026;#NV;2;75;0.751680066;0.159549873;2;0;0;#NV;#NV;4;3;58;93.22916667;77.34693878;0;0;0;5;5;#NV;2;1;1;2;2.5;2;#NV;8;100;-0.265132;-0.193767;-18.836991;-22.381193;0;1;54.95;0;22.352941;24.554707;4.480199279;2;2;0.666666667;-8.075943874;#NV;3;5.7;#NV;2;0;1
Albania;2005;Albania2005;2;1;2;1;-4.2;0;2;1;1;2;30;#NV;4;1;1;2.8;2.5;2.208333333;1;0;#NV;#NV;#NV;3.1;2;2;#NV;9.735152603;#NV;#NV;2;2;0.001870462;9.230377491;0.650598071;#NV;140;0;62.50239138;87.31152115;-0.262755102;85.3444227;-4;97.5;-3.335458062;4.561766995;#NV;2;75;0.905071119;0.159549873;2;0;0;#NV;#NV;4;3;#NV;92.08678133;100;-1;0;0;5;5;#NV;2;1;1;1.833333333;#NV;2;#NV;8;100;-0.299002653;-0.48129708;-16.69016071;-19.91361844;0;1;48.73;0;#NV;27.18889195;4.456044306;2;2;0.666666667;-19.95279991;#NV;3;7.1;5.3;2;0;0.9985715
Albania;2006;Albania2006;2;1;2;0;-2.8;0;2;1;2;2;30;#NV;4;1;0;2.8;2.6;2.5;1;0;#NV;#NV;#NV;3.9;2;2;#NV;8.670305206;#NV;#NV;2;2;0.002083245;8.870283821;0.647955911;#NV;140;0;66.5397233;79.28307615;-0.262755102;90;-4;97.5;-4.128379931;5.971198777;#NV;2;75;0.905071119;0.159549873;2;0;0;#NV;#NV;4;3;#NV;90.944396;100;0;0;0;5;5;#NV;2;1;1;1;#NV;2;#NV;8;100;-0.332873306;-0.768827161;-14.54333041;-17.44604387;0;1;48.73;0;#NV;29.82307691;4.43514191;2;2;0.666666667;-31.89491339;#NV;3;7.1;5.3;2;0;0.9985715
Albania;2007;Albania2007;2;1;2;1;-3.3;0;2;1;2;1.5;30;#NV;4;1;0;2.4;2.6;2.5;1;0;#NV;#NV;#NV;4;2;2;#NV;7.60545781;#NV;#NV;2;2;0.005821065;8.833741105;0.666464422;#NV;140;0;66.5397233;79.28307615;-0.262755102;90;-4;97.5;-4.128379931;5.971198777;1;2;75;0.905071119;0.159549873;2;0;0;#NV;#NV;4;3;#NV;89.80201067;100;0;0;0;5;5;#NV;2;1;1;1;2.9;2;#NV;8;100;-0.366743959;-1.056357241;-12.39650012;-14.97846931;0;1;48.73;0;#NV;32.45726186;4.416870553;2;2;0.666666667;-31.89491339;#NV;3;7.1;6.2;2;0;0.9985715
Albania;2008;Albania2008;2;1;3;1;-4.5;0;2;1;2;2;30;#NV;4;2;0;2.4;2.8;2.5;1;0;#NV;#NV;#NV;4;2;2;#NV;6.540610413;#NV;#NV;2;2;0.003086376;8.801165023;0.665195108;#NV;140;3;66.5397233;79.28307615;-0.262755102;90;-4;97.5;-4.128379931;5.971198777;1;2;75;0.905071119;0.159549873;2;0;0;#NV;#NV;4;3;#NV;88.65962533;100;0;0;0;5;5;#NV;2;1;1;1.5;3.4;2;#NV;8;100;-0.400614613;-1.343887321;-10.24966983;-12.51089475;0;1;48.73;0;#NV;35.09144682;4.435140505;2;2;0.666666667;-31.89491339;#NV;3;7.1;11.8;2;0;0.9985715
